,content_hash_id,client_hash_id,total_impressions,total_clicks,avg_position,ctr,position_bucket,expected_ctr,ctr_gap,opportunity_score,word_count,char_count,content_created_date,content_updated_date,last_optimized_date,content_type,days_since_updated,visible_queries,rare_share,anon_share,query_count_bucket
0,content_943dc881428182b8,client_8ddc46da5414ffd8,680046.0,914.0,3.498362107157023,0.0013440267276037209,4-6,0.004737103307584282,0.003393076579980561,2307.4481559094606,2902,17325,2026-04-09,2026-06-22,2026-06-22,keyword article,66,193.0,0.0012690318007899466,0.10631486693547201,"(15.0, 1551.0]"
1,content_acbcc847f8996314,client_62f4a7e64f5e0096,604861.0,762.0,4.253690564327753,0.001259793572407545,4-6,0.004737103307584282,0.0034773097351767372,2103.2890437287365,,,2025-12-16,2026-07-03,,keyword article,55,1175.0,0.008630081952713102,0.603864358918826,"(15.0, 1551.0]"
2,content_62770e1299963fe4,client_73cda7b4e4f265ea,522800.0,578.0,5.1044566023734985,0.0011055853098699312,4-6,0.004737103307584282,0.003631517997714351,1898.5576092050628,1685,11409,2026-03-17,2026-06-30,2026-06-30,keyword article,58,763.0,0.015386381025248662,0.5280317521040551,"(15.0, 1551.0]"
3,content_21309e9a83c83653,client_e547b89c05043229,593168.0,1021.0,4.9775192290570995,0.0017212661505677986,4-6,0.004737103307584282,0.0030158371570164835,1788.8980947531536,1214,8067,2025-03-21,2026-06-26,2026-06-26,keyword article,62,825.0,0.008894613330456127,0.5936210314784345,"(15.0, 1551.0]"
4,content_f352b7cfd0b2f434,client_62f4a7e64f5e0096,517211.0,668.0,4.011423807829819,0.0012915425232641997,4-6,0.004737103307584282,0.0034455607843200823,1782.081938818974,,,2025-12-16,2026-07-03,,keyword article,55,421.0,0.004296118992055467,0.5916231479995592,"(15.0, 1551.0]"
5,content_77276ad7a26f4905,client_e547b89c05043229,497234.0,757.0,5.828984939984704,0.001522422038718189,4-6,0.004737103307584282,0.003214681268866093,1598.448826043363,2674,16765,2024-12-19,2026-06-22,2026-06-22,keyword article,66,1294.0,0.04993825844572173,0.7851635246181878,"(15.0, 1551.0]"
6,content_33d31496fca9665e,client_73cda7b4e4f265ea,552397.0,124.0,6.182972215538406,0.00022447623719897103,7-10,0.0030568569578881422,0.0028323807206891713,1564.5986129665362,,,2025-09-25,2026-07-01,2026-07-01,keyword article,57,1335.0,0.005112265272983018,0.49927316766745655,"(15.0, 1551.0]"
7,content_599eba17030c875c,client_a80fca3f171ed1de,409812.0,429.0,5.873168207168818,0.0010468214693566806,4-6,0.004737103307584282,0.0036902818382276016,1512.3217806877299,2798,18715,2026-02-23,2026-05-20,,keyword article,99,677.0,0.011080690658155447,0.6012732667662245,"(15.0, 1551.0]"
8,content_39e19a3ec2d95f9d,client_1a730cb2640a1abf,380340.0,8.0,18.225568813959036,2.1033811852552978e-05,11-20,0.0033343717982357206,0.003313337986383168,1260.194969740974,2537,17921,2026-01-21,2026-05-25,2026-05-25,keyword article,94,11.0,0.0002760687805647578,0.002645001840458537,"(5.0, 15.0]"
9,content_9648c4d1595a0794,client_157ffe4d4a595515,272630.0,77.0,3.6517186855463573,0.0002824340681509738,4-6,0.004737103307584282,0.004454669239433308,1214.4764747467027,3528,24856,2025-09-02,2026-06-23,2026-06-23,keyword article,65,464.0,0.0313501815647581,0.5104940762205187,"(15.0, 1551.0]"
10,content_32c5cc913fb4ff41,client_8ddc46da5414ffd8,373286.0,575.0,5.814608833158382,0.001540373868829798,4-6,0.004737103307584282,0.003196729438754484,1193.2943452749062,2968,18090,2026-04-19,2026-05-20,,keyword article,99,198.0,0.0029441232727720834,0.18732285700508458,"(15.0, 1551.0]"
